source,target,weight,type,label,relationship,strength
Deformation,lithium,1.0,category-term,belongs_to,,0.0
Deformation,current,1.0,category-term,belongs_to,,0.0
Deformation,potential,1.0,category-term,belongs_to,,0.0
Deformation,electrodes,1.0,category-term,belongs_to,,0.0
Deformation,concentration,1.0,category-term,belongs_to,,0.0
Deformation,growth,1.0,category-term,belongs_to,,0.0
Deformation,discharge,1.0,category-term,belongs_to,,0.0
Deformation,chemical,1.0,category-term,belongs_to,,0.0
Deformation,shown,1.0,category-term,belongs_to,,0.0
Deformation,journal,1.0,category-term,belongs_to,,0.0
Fatigue,stress,1.0,category-term,belongs_to,,0.0
Fatigue,cycling,1.0,category-term,belongs_to,,0.0
Fatigue,cells,1.0,category-term,belongs_to,,0.0
Fatigue,power sources,1.0,category-term,belongs_to,,0.0
Fatigue,conditions,1.0,category-term,belongs_to,,0.0
Fatigue,interphase,1.0,category-term,belongs_to,,0.0
Fatigue,resistance,1.0,category-term,belongs_to,,0.0
Fatigue,lipon,1.0,category-term,belongs_to,,0.0
Fatigue,this work,1.0,category-term,belongs_to,,0.0
Fatigue,step,1.0,category-term,belongs_to,,0.0
Crack and Fracture,electrode,1.0,category-term,belongs_to,,0.0
Crack and Fracture,figure,1.0,category-term,belongs_to,,0.0
Crack and Fracture,surface,1.0,category-term,belongs_to,,0.0
Crack and Fracture,solid,1.0,category-term,belongs_to,,0.0
Crack and Fracture,cell,1.0,category-term,belongs_to,,0.0
Crack and Fracture,cathode,1.0,category-term,belongs_to,,0.0
Crack and Fracture,cycle,1.0,category-term,belongs_to,,0.0
Crack and Fracture,state,1.0,category-term,belongs_to,,0.0
Crack and Fracture,particle,1.0,category-term,belongs_to,,0.0
Crack and Fracture,cycles,1.0,category-term,belongs_to,,0.0
Degradation,electrolyte,1.0,category-term,belongs_to,,0.0
Degradation,energy,1.0,category-term,belongs_to,,0.0
Degradation,capacity,1.0,category-term,belongs_to,,0.0
Degradation,batteries,1.0,category-term,belongs_to,,0.0
Degradation,battery,1.0,category-term,belongs_to,,0.0
Degradation,electrochemical,1.0,category-term,belongs_to,,0.0
Degradation,phase,1.0,category-term,belongs_to,,0.0
Degradation,voltage,1.0,category-term,belongs_to,,0.0
Degradation,charge,1.0,category-term,belongs_to,,0.0
Degradation,rate,1.0,category-term,belongs_to,,0.0
Component,reference,1.0,category-term,belongs_to,,0.0
Component,appendix,1.0,category-term,belongs_to,,0.0
Component,j. am,1.0,category-term,belongs_to,,0.0
Component,solid state lett,1.0,category-term,belongs_to,,0.0
Component,electro chemo,1.0,category-term,belongs_to,,0.0
Component,solid-state batteries,1.0,category-term,belongs_to,,0.0
Component,sheldon,1.0,category-term,belongs_to,,0.0
Component,chemsuschem,1.0,category-term,belongs_to,,0.0
Component,storage mater,1.0,category-term,belongs_to,,0.0
Component,solid-state lett,1.0,category-term,belongs_to,,0.0
Other,materials,1.0,category-term,belongs_to,,0.0
Other,material,1.0,category-term,belongs_to,,0.0
Other,results,1.0,category-term,belongs_to,,0.0
Other,chem,1.0,category-term,belongs_to,,0.0
Other,mater,1.0,category-term,belongs_to,,0.0
Other,wang,1.0,category-term,belongs_to,,0.0
Other,data,1.0,category-term,belongs_to,,0.0
Other,zhang,1.0,category-term,belongs_to,,0.0
Other,study,1.0,category-term,belongs_to,,0.0
Other,sources,1.0,category-term,belongs_to,,0.0
lithium,electrode,394.0,term-term,related_to (394),inter_category,394.0
lithium,particle,123.0,term-term,related_to (123),inter_category,123.0
lithium,capacity,245.0,term-term,related_to (245),inter_category,245.0
lithium,battery,420.0,term-term,related_to (420),inter_category,420.0
lithium,phase,175.0,term-term,related_to (175),inter_category,175.0
lithium,batteries,783.0,term-term,related_to (783),inter_category,783.0
lithium,chem,36.0,term-term,related_to (36),inter_category,36.0
lithium,energy,291.0,term-term,related_to (291),inter_category,291.0
