source,target,weight,type,label,relationship,strength
Deformation,potential,1.0,category-term,belongs_to,,0.0
Deformation,particle,1.0,category-term,belongs_to,,0.0
Deformation,discharge,1.0,category-term,belongs_to,,0.0
Deformation,chemical,1.0,category-term,belongs_to,,0.0
Deformation,shown,1.0,category-term,belongs_to,,0.0
Deformation,journal,1.0,category-term,belongs_to,,0.0
Deformation,film,1.0,category-term,belongs_to,,0.0
Deformation,temperature,1.0,category-term,belongs_to,,0.0
Deformation,volume,1.0,category-term,belongs_to,,0.0
Deformation,graphite,1.0,category-term,belongs_to,,0.0
Fatigue,stress,1.0,category-term,belongs_to,,0.0
Fatigue,cycling,1.0,category-term,belongs_to,,0.0
Fatigue,cells,1.0,category-term,belongs_to,,0.0
Fatigue,power sources,1.0,category-term,belongs_to,,0.0
Fatigue,experimental,1.0,category-term,belongs_to,,0.0
Fatigue,diffusion,1.0,category-term,belongs_to,,0.0
Fatigue,evolution,1.0,category-term,belongs_to,,0.0
Fatigue,conditions,1.0,category-term,belongs_to,,0.0
Fatigue,experiments,1.0,category-term,belongs_to,,0.0
Fatigue,chen,1.0,category-term,belongs_to,,0.0
Crack and Fracture,electrode,1.0,category-term,belongs_to,,0.0
Crack and Fracture,figure,1.0,category-term,belongs_to,,0.0
Crack and Fracture,surface,1.0,category-term,belongs_to,,0.0
Crack and Fracture,solid,1.0,category-term,belongs_to,,0.0
Crack and Fracture,cell,1.0,category-term,belongs_to,,0.0
Crack and Fracture,current,1.0,category-term,belongs_to,,0.0
Crack and Fracture,cathode,1.0,category-term,belongs_to,,0.0
Crack and Fracture,cycle,1.0,category-term,belongs_to,,0.0
Crack and Fracture,state,1.0,category-term,belongs_to,,0.0
Crack and Fracture,cycles,1.0,category-term,belongs_to,,0.0
Degradation,lithium,1.0,category-term,belongs_to,,0.0
Degradation,electrolyte,1.0,category-term,belongs_to,,0.0
Degradation,energy,1.0,category-term,belongs_to,,0.0
Degradation,capacity,1.0,category-term,belongs_to,,0.0
Degradation,batteries,1.0,category-term,belongs_to,,0.0
Degradation,battery,1.0,category-term,belongs_to,,0.0
Degradation,electrochemical,1.0,category-term,belongs_to,,0.0
Degradation,phase,1.0,category-term,belongs_to,,0.0
Degradation,voltage,1.0,category-term,belongs_to,,0.0
Degradation,charge,1.0,category-term,belongs_to,,0.0
Component,performed,1.0,category-term,belongs_to,,0.0
Component,reference,1.0,category-term,belongs_to,,0.0
Component,containing,1.0,category-term,belongs_to,,0.0
Component,approximately,1.0,category-term,belongs_to,,0.0
Component,elemental,1.0,category-term,belongs_to,,0.0
Component,figures,1.0,category-term,belongs_to,,0.0
Component,determine,1.0,category-term,belongs_to,,0.0
Other,materials,1.0,category-term,belongs_to,,0.0
Other,material,1.0,category-term,belongs_to,,0.0
Other,results,1.0,category-term,belongs_to,,0.0
Other,chem,1.0,category-term,belongs_to,,0.0
Other,mater,1.0,category-term,belongs_to,,0.0
Other,wang,1.0,category-term,belongs_to,,0.0
Other,data,1.0,category-term,belongs_to,,0.0
Other,zhang,1.0,category-term,belongs_to,,0.0
Other,respectively,1.0,category-term,belongs_to,,0.0
Other,study,1.0,category-term,belongs_to,,0.0
potential,cycles,140.4072723388672,term-term,related_to (73),inter_category,73.0
potential,graphite,113.40494537353516,term-term,co-occurs_with (61),intra_category,61.0
potential,results,140.53018188476562,term-term,related_to (81),inter_category,81.0
potential,electrochemical,152.53125,term-term,related_to (81),inter_category,81.0
potential,shown,149.5133056640625,term-term,co-occurs_with (82),intra_category,82.0
potential,cycle,140.6078643798828,term-term,related_to (74),inter_category,74.0
potential,current,148.28643798828125,term-term,related_to (80),inter_category,80.0
potential,phase,129.93710327148438,term-term,related_to (71),inter_category,71.0
potential,particle,111.4682388305664,term-term,co-occurs_with (59),intra_category,59.0
potential,reference,115.1875,term-term,related_to (65),inter_category,65.0
potential,study,141.7194366455078,term-term,related_to (81),inter_category,81.0
potential,surface,153.86534118652344,term-term,related_to (80),inter_category,80.0
potential,solid,148.72911071777344,term-term,related_to (80),inter_category,80.0
potential,chen,124.2013931274414,term-term,related_to (69),inter_category,69.0
potential,cell,145.73788452148438,term-term,related_to (79),inter_category,79.0
potential,lithium,157.77503967285156,term-term,related_to (82),inter_category,82.0
potential,material,134.3245849609375,term-term,related_to (78),inter_category,78.0
potential,capacity,155.77456665039062,term-term,related_to (81),inter_category,81.0
potential,zhang,130.06814575195312,term-term,related_to (75),inter_category,75.0
potential,evolution,120.25142669677734,term-term,related_to (65),inter_category,65.0
potential,temperature,135.52806091308594,term-term,co-occurs_with (73),intra_category,73.0
