source,target,weight,type,label,relationship,strength
Deformation,lithium,1.0,category-term,belongs_to,,0.0
Deformation,diffusion,1.0,category-term,belongs_to,,0.0
Deformation,mechanisms,1.0,category-term,belongs_to,,0.0
Deformation,current,1.0,category-term,belongs_to,,0.0
Deformation,electrodes,1.0,category-term,belongs_to,,0.0
Deformation,volume,1.0,category-term,belongs_to,,0.0
Deformation,strain,1.0,category-term,belongs_to,,0.0
Deformation,discharge,1.0,category-term,belongs_to,,0.0
Deformation,active,1.0,category-term,belongs_to,,0.0
Deformation,density,1.0,category-term,belongs_to,,0.0
Fatigue,stress,1.0,category-term,belongs_to,,0.0
Fatigue,cycling,1.0,category-term,belongs_to,,0.0
Fatigue,power sources,1.0,category-term,belongs_to,,0.0
Fatigue,fatigue,1.0,category-term,belongs_to,,0.0
Fatigue,article,1.0,category-term,belongs_to,,0.0
Fatigue,conditions,1.0,category-term,belongs_to,,0.0
Fatigue,cells,1.0,category-term,belongs_to,,0.0
Fatigue,lithium ion,1.0,category-term,belongs_to,,0.0
Fatigue,lithium ions,1.0,category-term,belongs_to,,0.0
Fatigue,stresses,1.0,category-term,belongs_to,,0.0
Crack and Fracture,crack,1.0,category-term,belongs_to,,0.0
Crack and Fracture,fracture,1.0,category-term,belongs_to,,0.0
Crack and Fracture,energy,1.0,category-term,belongs_to,,0.0
Crack and Fracture,mechanical,1.0,category-term,belongs_to,,0.0
Crack and Fracture,solid,1.0,category-term,belongs_to,,0.0
Crack and Fracture,cracks,1.0,category-term,belongs_to,,0.0
Crack and Fracture,surface,1.0,category-term,belongs_to,,0.0
Crack and Fracture,cathode,1.0,category-term,belongs_to,,0.0
Crack and Fracture,cracking,1.0,category-term,belongs_to,,0.0
Crack and Fracture,cycles,1.0,category-term,belongs_to,,0.0
Degradation,particle,1.0,category-term,belongs_to,,0.0
Degradation,electrode,1.0,category-term,belongs_to,,0.0
Degradation,battery,1.0,category-term,belongs_to,,0.0
Degradation,degradation,1.0,category-term,belongs_to,,0.0
Degradation,particles,1.0,category-term,belongs_to,,0.0
Degradation,capacity,1.0,category-term,belongs_to,,0.0
Degradation,batteries,1.0,category-term,belongs_to,,0.0
Degradation,electrolyte,1.0,category-term,belongs_to,,0.0
Degradation,phase,1.0,category-term,belongs_to,,0.0
Degradation,rate,1.0,category-term,belongs_to,,0.0
Component,reference,1.0,category-term,belongs_to,,0.0
Component,solid-state batteries,1.0,category-term,belongs_to,,0.0
Component,electro chemo,1.0,category-term,belongs_to,,0.0
Component,batteries power sources,1.0,category-term,belongs_to,,0.0
Component,cells power sources,1.0,category-term,belongs_to,,0.0
Component,a. jossen,1.0,category-term,belongs_to,,0.0
Component,numer methods,1.0,category-term,belongs_to,,0.0
Component,appendix,1.0,category-term,belongs_to,,0.0
Component,cells electrochem,1.0,category-term,belongs_to,,0.0
Component,consumer electronics,1.0,category-term,belongs_to,,0.0
Other,materials,1.0,category-term,belongs_to,,0.0
Other,material,1.0,category-term,belongs_to,,0.0
Other,sources,1.0,category-term,belongs_to,,0.0
Other,chem,1.0,category-term,belongs_to,,0.0
Other,results,1.0,category-term,belongs_to,,0.0
Other,methods,1.0,category-term,belongs_to,,0.0
Other,mater,1.0,category-term,belongs_to,,0.0
Other,study,1.0,category-term,belongs_to,,0.0
Other,zhang,1.0,category-term,belongs_to,,0.0
Other,online,1.0,category-term,belongs_to,,0.0
lithium,power sources,62.0,term-term,related_to (62),inter_category,62.0
lithium,sources,63.0,term-term,related_to (63),inter_category,63.0
lithium,fatigue,40.0,term-term,related_to (40),inter_category,40.0
lithium,cracking,51.0,term-term,related_to (51),inter_category,51.0
lithium,electrode,131.0,term-term,related_to (131),inter_category,131.0
lithium,battery,168.0,term-term,related_to (168),inter_category,168.0
lithium,particles,89.0,term-term,related_to (89),inter_category,89.0
lithium,phase,61.0,term-term,related_to (61),inter_category,61.0
lithium,fracture,109.0,term-term,related_to (109),inter_category,109.0
lithium,particle,95.0,term-term,related_to (95),inter_category,95.0
lithium,batteries,230.0,term-term,related_to (230),inter_category,230.0
lithium,energy,86.0,term-term,related_to (86),inter_category,86.0
lithium,mechanisms,44.0,term-term,co-occurs_with (44),intra_category,44.0
lithium,stresses,22.0,term-term,related_to (22),inter_category,22.0
lithium,degradation,112.0,term-term,related_to (112),inter_category,112.0
lithium,materials,80.0,term-term,related_to (80),inter_category,80.0
lithium,crack,66.0,term-term,related_to (66),inter_category,66.0
lithium,solid,94.0,term-term,related_to (94),inter_category,94.0
lithium,electrolyte,76.0,term-term,related_to (76),inter_category,76.0
